# Threatbase Threat Intelligence Feed - Brute-Force IPs
# Last update: Thu, 03 Sep 2026 04:22:07 +0000
# Count: 32536
# Format: IP,FeedCount,RiskScore,Tags,FirstSeen,LastSeen,Sources
1.0.164.165,6,HIGH,Brute-Force|Malicious,2026-09-02,2026-09-03,blocklist_de|blocklist_de_ssh|firehol_level2|ipsum|romainmarcoux_outgoing_ab
1.9.211.178,4,HIGH,Brute-Force,2026-09-02,2026-09-03,firehol_level2|greensnow|ipsum
1.12.48.131,6,HIGH,Brute-Force|Exploit|Malicious,2026-09-02,2026-09-03,abuseipdb|blocklist_de|blocklist_de_apache|firehol_level2|ipsum
1.20.175.122,6,HIGH,Brute-Force|Malicious,2026-09-02,2026-09-03,blocklist_de|blocklist_de_ssh|firehol_level2|ipsum|romainmarcoux_outgoing_ab
1.20.178.157,5,HIGH,Brute-Force|Spam,2026-09-02,2026-09-03,blocklist_de|blocklist_de_mail|firehol_level2|ipsum
1.22.104.194,6,HIGH,Botnet|Brute-Force|Malicious,2026-09-02,2026-09-03,blocklist_de|blocklist_net_bots|firehol_level2|ipsum|romainmarcoux_outgoing_ab
1.22.114.164,5,HIGH,Brute-Force|Malicious,2026-09-02,2026-09-03,abuseipdb|firehol_level2|greensnow|ipsum
1.27.251.252,9,HIGH,Brute-Force|Compromised|Malicious,2026-09-02,2026-09-03,blocklist_de|blocklist_de_ssh|criticalpath_security|emerging_threats|firehol_level2|firehol_level3|ipsum|romainmarcoux_outgoing_ab
1.29.221.52,6,HIGH,Brute-Force|Malicious,2026-09-02,2026-09-03,blocklist_de|blocklist_de_ssh|firehol_level2|ipsum|romainmarcoux_outgoing_ab
1.30.199.218,8,HIGH,Brute-Force|Malicious,2026-09-02,2026-09-03,blocklist_de|blocklist_de_ssh|firehol_level2|greensnow|ipsum|romainmarcoux_outgoing_40k|romainmarcoux_outgoing_aa
1.32.1.154,4,HIGH,Brute-Force|Spam,2026-09-03,2026-09-03,blocklist_de|blocklist_de_mail|ipsum
1.32.207.234,6,HIGH,Brute-Force|Malicious,2026-09-02,2026-09-03,blocklist_de|blocklist_de_ssh|firehol_level2|ipsum|romainmarcoux_outgoing_ab
1.38.220.207,6,HIGH,Brute-Force|Malicious,2026-09-02,2026-09-03,blocklist_de|blocklist_de_ssh|firehol_level2|ipsum|romainmarcoux_outgoing_ab
1.39.154.52,6,HIGH,Botnet|Brute-Force|Malicious,2026-09-02,2026-09-03,blocklist_de|blocklist_net_bots|firehol_level2|ipsum|romainmarcoux_outgoing_ab
1.39.171.31,6,HIGH,Brute-Force|Exploit|Malicious,2026-09-02,2026-09-03,blocklist_de|blocklist_de_apache|firehol_level2|ipsum|romainmarcoux_outgoing_ab
1.39.172.143,4,HIGH,Botnet|Brute-Force,2026-09-03,2026-09-03,blocklist_de|blocklist_net_bots|ipsum
1.52.180.243,6,HIGH,Botnet|Brute-Force|Malicious,2026-09-02,2026-09-03,blocklist_de|blocklist_net_bots|firehol_level2|ipsum|romainmarcoux_outgoing_ab
1.85.42.195,7,HIGH,Brute-Force|Malicious|Spam,2026-09-02,2026-09-03,blocklist_de|blocklist_de_mail|firehol_level2|ipsum|romainmarcoux_outgoing_40k|romainmarcoux_outgoing_aa
1.86.233.5,6,HIGH,Brute-Force|Malicious,2026-09-02,2026-09-03,blocklist_de|blocklist_de_ssh|firehol_level2|ipsum|romainmarcoux_outgoing_ab
1.92.121.6,6,HIGH,Brute-Force|Malicious,2026-09-02,2026-09-03,blocklist_de|blocklist_de_ssh|firehol_level2|ipsum|romainmarcoux_outgoing_ab
1.92.151.36,5,HIGH,Brute-Force,2026-09-02,2026-09-03,blocklist_de|blocklist_de_ssh|firehol_level2|ipsum
1.92.205.29,6,HIGH,Botnet|Brute-Force|Malicious,2026-09-02,2026-09-03,blocklist_de|blocklist_net_bots|firehol_level2|ipsum|romainmarcoux_outgoing_ab
1.92.217.251,6,HIGH,Botnet|Brute-Force|Malicious,2026-09-02,2026-09-03,blocklist_de|blocklist_net_bots|firehol_level2|ipsum|romainmarcoux_outgoing_ab
1.95.33.3,5,HIGH,Brute-Force,2026-09-02,2026-09-03,blocklist_de|blocklist_de_ssh|firehol_level2|ipsum
1.95.91.114,6,HIGH,Brute-Force|Malicious,2026-09-02,2026-09-03,blocklist_de|blocklist_de_ssh|firehol_level2|ipsum|romainmarcoux_outgoing_ab
1.95.172.30,6,HIGH,Brute-Force|Malicious,2026-09-02,2026-09-03,blocklist_de|blocklist_de_ssh|firehol_level2|ipsum|romainmarcoux_outgoing_ab
1.162.197.67,6,HIGH,Brute-Force|Malicious,2026-09-02,2026-09-03,blocklist_de|blocklist_de_ssh|firehol_level2|ipsum|romainmarcoux_outgoing_ab
1.162.237.203,8,HIGH,Brute-Force|Malicious,2026-09-02,2026-09-03,abuseipdb|blocklist_de|blocklist_de_ssh|firehol_level2|greensnow|ipsum|romainmarcoux_outgoing_ab
1.162.247.182,6,HIGH,Brute-Force|Malicious,2026-09-02,2026-09-03,blocklist_de|blocklist_de_ssh|firehol_level2|ipsum|romainmarcoux_outgoing_ab
1.174.208.30,7,HIGH,Brute-Force|Malicious,2026-09-02,2026-09-03,abuseipdb|blocklist_de|blocklist_de_ssh|firehol_level2|ipsum|romainmarcoux_outgoing_ab
1.192.80.248,5,HIGH,Brute-Force|Spam,2026-09-02,2026-09-03,blocklist_de|blocklist_de_mail|firehol_level2|ipsum
