# Threatbase Threat Intelligence Feed - C2 IPs
# Last update: Sun, 12 Jul 2026 10:17:08 +0000
# Count: 7607
# Format: IP,FeedCount,RiskScore,Tags
1.53.101.75,2,HIGH,C2
1.161.66.82,2,HIGH,C2
1.161.67.235,2,HIGH,C2
1.161.71.109,4,HIGH,C2|Malicious
1.161.72.70,2,HIGH,C2
1.161.75.18,2,HIGH,C2
1.161.79.116,2,HIGH,C2
1.161.80.70,2,HIGH,C2
1.161.80.99,2,HIGH,C2
1.161.81.21,2,HIGH,C2
1.161.88.84,2,HIGH,C2
1.161.97.158,2,HIGH,C2
1.161.100.47,2,HIGH,C2
1.161.104.31,2,HIGH,C2
1.161.104.149,2,HIGH,C2
1.161.116.40,2,HIGH,C2
1.161.118.53,2,HIGH,C2
1.161.121.58,2,HIGH,C2
1.161.122.145,2,HIGH,C2
1.161.123.53,2,HIGH,C2
1.161.123.180,2,HIGH,C2
1.161.124.241,2,HIGH,C2
1.161.126.13,2,HIGH,C2
1.161.126.64,2,HIGH,C2
1.221.179.74,2,HIGH,C2
1.234.2.232,2,HIGH,C2
1.234.20.244,2,HIGH,C2
1.234.21.73,2,HIGH,C2
1.234.65.61,2,HIGH,C2
2.13.73.146,2,HIGH,C2
2.14.24.66,2,HIGH,C2
2.14.82.210,2,HIGH,C2
2.14.96.234,2,HIGH,C2
2.14.104.108,2,HIGH,C2
2.14.105.160,2,HIGH,C2
2.14.137.60,2,HIGH,C2
2.14.137.211,2,HIGH,C2
2.14.140.222,2,HIGH,C2
2.14.144.105,2,HIGH,C2
2.14.173.248,2,HIGH,C2
2.14.232.15,2,HIGH,C2
2.14.241.33,2,HIGH,C2
2.34.12.8,2,HIGH,C2
2.36.64.159,2,HIGH,C2
2.42.176.91,2,HIGH,C2
2.49.58.47,2,HIGH,C2
2.49.63.160,2,HIGH,C2
2.49.63.193,2,HIGH,C2
2.49.63.237,2,HIGH,C2
2.50.4.57,2,HIGH,C2
2.50.16.10,2,HIGH,C2
2.50.16.41,2,HIGH,C2
2.50.16.167,2,HIGH,C2
2.50.22.45,2,HIGH,C2
2.50.27.78,2,HIGH,C2
2.50.28.157,2,HIGH,C2
2.50.37.117,2,HIGH,C2
2.50.41.69,2,HIGH,C2
2.50.47.74,2,HIGH,C2
2.50.48.191,2,HIGH,C2
2.50.48.213,2,HIGH,C2
2.50.50.227,2,HIGH,C2
2.50.137.23,2,HIGH,C2
2.50.137.46,2,HIGH,C2
2.50.137.55,2,HIGH,C2
2.50.137.155,2,HIGH,C2
2.50.137.167,2,HIGH,C2
2.50.137.197,4,HIGH,C2|Malicious
2.50.140.56,2,HIGH,C2
2.50.166.115,2,HIGH,C2
2.51.46.59,2,HIGH,C2
2.51.46.63,2,HIGH,C2
2.56.10.16,2,HIGH,C2
2.58.16.89,3,HIGH,C2|Malicious
2.82.8.80,2,HIGH,C2
2.82.10.152,2,HIGH,C2
2.82.75.215,3,HIGH,C2|Malicious
2.83.12.243,2,HIGH,C2
2.83.32.104,2,HIGH,C2
2.83.62.105,2,HIGH,C2
2.84.98.228,2,HIGH,C2
2.88.198.90,2,HIGH,C2
2.88.206.121,2,HIGH,C2
2.88.219.187,2,HIGH,C2
2.91.184.252,2,HIGH,C2
