# Threatbase Threat Intelligence Feed - Compromised IPs
# Last update: Fri, 04 Sep 2026 18:20:27 +0000
# Count: 15544
# Format: IP,FeedCount,RiskScore,Tags,FirstSeen,LastSeen,Sources
1.15.14.29,4,HIGH,Compromised|Malicious,2026-09-02,2026-09-04,cins_army|ipsum|romainmarcoux_outgoing_ab
1.20.163.72,2,HIGH,Compromised,2026-09-04,2026-09-04,cins_army
1.24.16.3,4,HIGH,Compromised|Malicious,2026-09-02,2026-09-04,cins_army|ipsum|romainmarcoux_outgoing_ab
1.24.16.11,4,HIGH,Compromised|Malicious,2026-09-02,2026-09-04,cins_army|ipsum|romainmarcoux_outgoing_ab
1.24.16.17,5,HIGH,Compromised|Malicious,2026-09-02,2026-09-04,cins_army|ipsum|romainmarcoux_outgoing_40k|romainmarcoux_outgoing_aa
1.24.16.21,3,HIGH,Compromised|Malicious,2026-09-02,2026-09-04,cins_army|romainmarcoux_outgoing_ab
1.24.16.23,3,HIGH,Compromised|Malicious,2026-09-02,2026-09-04,cins_army|romainmarcoux_outgoing_ab
1.24.16.25,3,HIGH,Compromised,2026-09-02,2026-09-04,cins_army|firehol_level3
1.24.16.26,4,HIGH,Compromised|Malicious,2026-09-02,2026-09-04,cins_army|romainmarcoux_outgoing_40k|romainmarcoux_outgoing_aa
1.24.16.30,4,HIGH,Compromised|Malicious,2026-09-02,2026-09-04,cins_army|ipsum|romainmarcoux_outgoing_ab
1.24.16.31,6,HIGH,Compromised|Malicious,2026-09-02,2026-09-04,cins_army|firehol_level3|ipsum|romainmarcoux_outgoing_40k|romainmarcoux_outgoing_aa
1.24.16.35,3,HIGH,Compromised|Malicious,2026-09-02,2026-09-04,cins_army|romainmarcoux_outgoing_ab
1.24.16.36,4,HIGH,Compromised|Malicious,2026-09-02,2026-09-04,cins_army|ipsum|romainmarcoux_outgoing_ab
1.24.16.41,4,HIGH,Compromised|Malicious,2026-09-02,2026-09-04,cins_army|ipsum|romainmarcoux_outgoing_ab
1.24.16.42,5,HIGH,Compromised|Malicious,2026-09-02,2026-09-04,cins_army|ipsum|romainmarcoux_outgoing_40k|romainmarcoux_outgoing_aa
1.24.16.43,3,HIGH,Compromised,2026-09-02,2026-09-04,cins_army|ipsum
1.24.16.51,4,HIGH,Compromised|Malicious,2026-09-02,2026-09-04,cins_army|ipsum|romainmarcoux_outgoing_ab
1.24.16.55,5,HIGH,Compromised|Malicious,2026-09-02,2026-09-04,cins_army|firehol_level3|ipsum|romainmarcoux_outgoing_ab
1.24.16.62,2,HIGH,Compromised,2026-09-02,2026-09-04,cins_army
1.24.16.64,5,HIGH,Compromised|Malicious,2026-09-02,2026-09-04,cins_army|ipsum|romainmarcoux_outgoing_40k|romainmarcoux_outgoing_aa
1.24.16.65,4,HIGH,Compromised|Malicious,2026-09-02,2026-09-04,cins_army|ipsum|romainmarcoux_outgoing_ab
