# Threatbase Threat Intelligence Feed - Mixed IPs
# Last update: Sat, 04 Jul 2026 02:16:56 +0000
# Count: 264044
# Format: IP,FeedCount,RiskScore,Tags
1.0.1.1,1,HIGH,Mixed
1.0.1.11,1,HIGH,Mixed
1.0.7.16,1,HIGH,Mixed
1.0.227.12,2,HIGH,Mixed
1.0.251.135,1,HIGH,Mixed
1.1.131.69,1,HIGH,Mixed
1.1.133.104,1,HIGH,Mixed
1.1.145.149,2,HIGH,Mixed
1.1.243.65,1,HIGH,Mixed
1.2.3.4,1,HIGH,Mixed
1.2.134.219,2,HIGH,Mixed
1.2.210.24,1,HIGH,Mixed
1.2.212.162,2,HIGH,Mixed
1.2.213.197,1,HIGH,Mixed
1.2.220.103,1,HIGH,Mixed
1.2.227.115,1,HIGH,Mixed
1.2.252.192,2,HIGH,Mixed
1.3.3.7,1,HIGH,Mixed
1.4.145.58,1,HIGH,Mixed
1.4.150.80,2,HIGH,Mixed
1.4.151.190,1,HIGH,Mixed
1.4.163.107,1,HIGH,Mixed
1.4.171.217,1,HIGH,Mixed
1.4.175.43,1,HIGH,Mixed
1.4.195.114,2,HIGH,Mixed
1.4.200.17,1,HIGH,Mixed
1.4.214.136,1,HIGH,Mixed
1.4.221.22,3,HIGH,Mixed
1.4.234.228,2,HIGH,Mixed
1.4.254.127,2,HIGH,Mixed
1.6.83.9,1,HIGH,Mixed
1.6.83.15,1,HIGH,Mixed
1.7.22.157,1,HIGH,Mixed
1.9.14.108,1,HIGH,Mixed
1.9.126.122,1,HIGH,Mixed
1.9.164.197,2,HIGH,Mixed
1.9.203.73,1,HIGH,Mixed
1.9.213.2,1,HIGH,Mixed
1.10.131.18,1,HIGH,Mixed
1.10.161.232,1,HIGH,Mixed
1.10.185.224,1,HIGH,Mixed
1.10.204.51,1,HIGH,Mixed
1.10.218.26,2,HIGH,Mixed
1.10.255.112,2,HIGH,Mixed
1.11.64.131,2,HIGH,Mixed
1.11.228.4,1,HIGH,Mixed
1.12.42.37,2,HIGH,Mixed
1.12.51.198,1,HIGH,Mixed
1.12.70.96,2,HIGH,Mixed
1.12.70.192,1,HIGH,Mixed
1.12.77.250,2,HIGH,Mixed
1.12.229.231,1,HIGH,Mixed
1.12.231.145,1,HIGH,Mixed
1.12.233.147,1,HIGH,Mixed
1.12.246.69,2,HIGH,Mixed
1.12.247.164,1,HIGH,Mixed
1.12.247.195,1,HIGH,Mixed
1.13.22.203,1,HIGH,Mixed
1.13.79.216,1,HIGH,Mixed
1.13.156.118,2,HIGH,Mixed
1.13.158.52,2,HIGH,Mixed
1.13.163.60,2,HIGH,Mixed
1.13.196.158,1,HIGH,Mixed
1.13.198.88,2,HIGH,Mixed
1.13.253.103,2,HIGH,Mixed
1.14.46.205,2,HIGH,Mixed
1.14.48.247,1,HIGH,Mixed
1.14.49.40,1,HIGH,Mixed
1.14.64.225,1,HIGH,Mixed
1.14.99.224,1,HIGH,Mixed
1.14.107.204,2,HIGH,Mixed
1.14.110.85,2,HIGH,Mixed
1.14.142.39,1,HIGH,Mixed
1.14.166.133,1,HIGH,Mixed
1.14.176.139,1,HIGH,Mixed
1.14.192.95,2,HIGH,Mixed
1.14.236.218,2,HIGH,Mixed
1.14.250.106,1,HIGH,Mixed
1.15.32.131,2,HIGH,Mixed
1.15.35.79,1,HIGH,Mixed
1.15.36.31,1,HIGH,Mixed
1.15.51.236,2,HIGH,Mixed
1.15.52.154,2,HIGH,Mixed
1.15.67.122,1,HIGH,Mixed
1.15.82.219,1,HIGH,Mixed
1.15.103.109,2,HIGH,Mixed
1.15.106.126,1,HIGH,Mixed
1.15.106.229,2,HIGH,Mixed
1.15.110.148,1,HIGH,Mixed
1.15.114.58,1,HIGH,Mixed
1.15.135.116,3,HIGH,Mixed
1.15.152.195,1,HIGH,Mixed
1.15.179.105,1,HIGH,Mixed
1.15.227.58,2,HIGH,Mixed
1.15.247.236,2,HIGH,Mixed
1.20.88.106,1,HIGH,Mixed
1.20.104.43,1,HIGH,Mixed
1.20.104.57,1,HIGH,Mixed
1.20.143.87,1,LOW,Mixed
1.20.163.48,1,HIGH,Mixed
1.20.163.251,1,HIGH,Mixed
1.20.172.193,1,HIGH,Mixed
1.20.173.177,1,HIGH,Mixed
1.20.175.93,1,HIGH,Mixed
1.20.175.122,1,HIGH,Mixed
1.20.175.232,1,HIGH,Mixed
1.20.179.204,2,HIGH,Mixed
1.20.186.216,2,HIGH,Mixed
1.20.187.46,1,HIGH,Mixed
1.20.187.62,1,HIGH,Mixed
1.20.187.130,2,HIGH,Mixed
1.20.187.242,1,HIGH,Mixed
1.20.201.106,1,HIGH,Mixed
1.20.207.28,1,LOW,Mixed
1.20.235.153,2,HIGH,Mixed
1.22.114.164,1,HIGH,Mixed
1.22.196.50,1,HIGH,Mixed
1.22.196.70,1,HIGH,Mixed
1.24.16.2,1,HIGH,Mixed
1.24.16.3,1,HIGH,Mixed
1.24.16.4,2,HIGH,Mixed
1.24.16.6,1,HIGH,Mixed
1.24.16.7,1,HIGH,Mixed
1.24.16.8,1,HIGH,Mixed
1.24.16.10,1,HIGH,Mixed
1.24.16.11,2,HIGH,Mixed
1.24.16.14,1,HIGH,Mixed
1.24.16.19,1,HIGH,Mixed
1.24.16.20,1,HIGH,Mixed
1.24.16.21,2,HIGH,Mixed
1.24.16.24,1,HIGH,Mixed
1.24.16.25,1,HIGH,Mixed
1.24.16.31,2,HIGH,Mixed
1.24.16.33,1,HIGH,Mixed
1.24.16.35,1,HIGH,Mixed
1.24.16.36,2,HIGH,Mixed
1.24.16.38,1,HIGH,Mixed
1.24.16.39,1,HIGH,Mixed
1.24.16.41,1,HIGH,Mixed
1.24.16.47,2,HIGH,Mixed
1.24.16.48,1,HIGH,Mixed
1.24.16.50,1,HIGH,Mixed
1.24.16.52,1,HIGH,Mixed
1.24.16.60,1,HIGH,Mixed
1.24.16.61,1,HIGH,Mixed
1.24.16.62,2,HIGH,Mixed
1.24.16.66,1,HIGH,Mixed
1.24.16.68,1,HIGH,Mixed
1.24.16.69,1,HIGH,Mixed
1.24.16.74,2,HIGH,Mixed
1.24.16.75,1,HIGH,Mixed
1.24.16.78,2,HIGH,Mixed
1.24.16.80,1,HIGH,Mixed
1.24.16.81,2,HIGH,Mixed
1.24.16.83,1,HIGH,Mixed
1.24.16.84,3,HIGH,Mixed
1.24.16.85,1,HIGH,Mixed
1.24.16.86,1,HIGH,Mixed
1.24.16.87,1,HIGH,Mixed
1.24.16.88,1,HIGH,Mixed
1.24.16.90,1,HIGH,Mixed
1.24.16.94,1,HIGH,Mixed
1.24.16.95,1,HIGH,Mixed
1.24.16.98,2,HIGH,Mixed
1.24.16.100,1,HIGH,Mixed
1.24.16.101,1,HIGH,Mixed
1.24.16.102,1,HIGH,Mixed
1.24.16.103,1,HIGH,Mixed
