# Threatbase Threat Intelligence Feed - Spam IPs
# Last update: Fri, 04 Sep 2026 18:20:27 +0000
# Count: 12559
# Format: IP,FeedCount,RiskScore,Tags,FirstSeen,LastSeen,Sources
1.20.178.157,5,HIGH,Brute-Force|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_mail|firehol_level2|ipsum
1.24.16.125,6,HIGH,Brute-Force|Malicious|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_mail|firehol_level2|ipsum|romainmarcoux_outgoing_ab
1.32.1.154,6,HIGH,Brute-Force|Malicious|Spam,2026-09-03,2026-09-04,blocklist_de|blocklist_de_mail|firehol_level2|ipsum|romainmarcoux_outgoing_ab
1.55.14.86,2,MEDIUM,Brute-Force|Spam,2026-09-04,2026-09-04,blocklist_de|blocklist_de_mail
1.85.42.195,6,HIGH,Brute-Force|Malicious|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_mail|ipsum|romainmarcoux_outgoing_40k|romainmarcoux_outgoing_aa
1.183.175.183,6,HIGH,Brute-Force|Malicious|Spam,2026-09-03,2026-09-04,blocklist_de|blocklist_de_mail|firehol_level2|ipsum|romainmarcoux_outgoing_ab
1.192.80.248,7,HIGH,Brute-Force|Malicious|Spam,2026-09-02,2026-09-04,abuseipdb|blocklist_de|blocklist_de_mail|firehol_level2|ipsum|romainmarcoux_outgoing_ab
1.212.225.99,9,HIGH,Brute-Force|Malicious|Spam,2026-09-02,2026-09-04,abuseipdb|blocklist_de|blocklist_de_mail|blocklist_net_strongips|firehol_level2|greensnow|ipsum|romainmarcoux_outgoing_ab
1.220.198.126,6,HIGH,Brute-Force|Malicious|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_mail|firehol_level2|ipsum|romainmarcoux_outgoing_ab
1.227.228.131,7,HIGH,Brute-Force|Malicious|Spam,2026-09-02,2026-09-04,abuseipdb|blocklist_de|blocklist_de_mail|firehol_level2|greensnow|ipsum
1.237.155.150,6,HIGH,Brute-Force|Malicious|Spam,2026-09-02,2026-09-04,abuseipdb|blocklist_de|blocklist_de_mail|firehol_level2|ipsum
1.241.64.237,6,HIGH,Brute-Force|Malicious|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_mail|firehol_level2|ipsum|romainmarcoux_outgoing_ab
1.247.245.61,7,HIGH,Brute-Force|Malicious|Spam,2026-09-02,2026-09-04,abuseipdb|blocklist_de|blocklist_de_mail|firehol_level2|ipsum|romainmarcoux_outgoing_ab
1.250.67.114,6,HIGH,Brute-Force|Malicious|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_mail|firehol_level2|ipsum|romainmarcoux_outgoing_ab
2.15.99.121,6,HIGH,Brute-Force|Malicious|Spam,2026-09-03,2026-09-04,blocklist_de|blocklist_de_mail|firehol_level2|ipsum|romainmarcoux_outgoing_aa
