# Threatbase Threat Intelligence Feed - Tor IPs
# Last update: Sun, 02 Aug 2026 02:17:32 +0000
# Count: 7506
# Format: IP,FeedCount,RiskScore,Tags
1.2.222.167,3,HIGH,Malicious|Tor
1.161.171.86,3,HIGH,Malicious|Tor
1.201.176.169,2,HIGH,Tor
1.201.176.176,2,HIGH,Tor
1.240.102.222,2,HIGH,Tor
2.7.166.0,2,HIGH,Tor
2.9.205.52,2,HIGH,Tor
2.27.170.185,2,HIGH,Tor
2.39.121.66,3,HIGH,Malicious|Tor
2.56.10.29,2,HIGH,Tor
2.56.10.36,4,HIGH,Tor
2.56.98.121,2,HIGH,Tor
2.56.164.75,2,HIGH,Tor
2.56.164.157,2,HIGH,Tor
2.58.21.105,2,HIGH,Tor
2.58.52.163,2,HIGH,Tor
2.58.203.60,2,HIGH,Tor
2.59.133.100,2,HIGH,Tor
2.100.67.148,2,HIGH,Tor
2.249.153.60,2,HIGH,Tor
3.38.87.87,2,HIGH,Tor
5.1.56.52,2,HIGH,Tor
5.2.67.226,4,HIGH,Tor
5.2.79.190,4,HIGH,Tor
5.8.18.99,2,HIGH,Tor
5.9.14.25,2,HIGH,Tor
5.9.14.30,2,HIGH,Tor
5.9.56.12,2,HIGH,Tor
5.9.56.249,2,HIGH,Tor
5.9.83.108,3,HIGH,Tor
5.9.122.185,2,HIGH,Tor
5.9.122.206,2,HIGH,Tor
5.22.217.180,2,HIGH,Tor
5.34.176.183,2,HIGH,Tor
5.34.176.184,2,HIGH,Tor
5.34.176.199,2,HIGH,Tor
5.39.81.102,2,HIGH,Tor
5.39.81.121,2,HIGH,Tor
5.39.184.56,2,HIGH,Tor
5.39.222.89,2,HIGH,Tor
5.44.252.164,4,HIGH,Tor
5.45.98.162,4,HIGH,Tor
5.45.98.188,2,HIGH,Tor
5.45.98.230,2,HIGH,Tor
5.45.99.251,2,HIGH,Tor
5.45.102.93,4,HIGH,Tor
5.45.104.176,4,HIGH,Tor
5.45.105.12,2,HIGH,Tor
5.45.105.164,2,HIGH,Tor
