# Threatbase Threat Intelligence Feed - Brute-Force IPs
# Last update: Sat, 05 Sep 2026 06:52:29 +0000
# Count: 31352
# Format: IP,FeedCount,RiskScore,Tags,FirstSeen,LastSeen,Sources
1.0.164.165,6,HIGH,Brute-Force|Malicious,2026-09-02,2026-09-05,blocklist_de|blocklist_de_ssh|firehol_level2|ipsum|romainmarcoux_outgoing_ab
1.2.189.89,5,HIGH,Botnet|Brute-Force|Malicious,2026-09-04,2026-09-05,blocklist_de|blocklist_net_bots|ipsum|romainmarcoux_outgoing_ab
1.9.211.178,4,HIGH,Brute-Force,2026-09-02,2026-09-05,firehol_level2|greensnow|ipsum
1.12.37.6,4,HIGH,Brute-Force,2026-09-02,2026-09-05,blocklist_de|blocklist_de_ssh|ipsum
1.12.48.131,4,HIGH,Brute-Force,2026-09-02,2026-09-05,firehol_level2|greensnow|ipsum
1.20.175.122,5,HIGH,Brute-Force,2026-09-02,2026-09-05,blocklist_de|blocklist_de_ssh|firehol_level2|ipsum
1.22.114.164,4,HIGH,Brute-Force,2026-09-02,2026-09-05,firehol_level2|greensnow|ipsum
1.24.16.125,6,HIGH,Brute-Force|Malicious|Spam,2026-09-02,2026-09-05,blocklist_de|blocklist_de_mail|firehol_level2|ipsum|romainmarcoux_outgoing_ab
1.27.251.252,4,HIGH,Brute-Force,2026-09-02,2026-09-05,bruteforceblocker|firehol_level2|ipsum
1.29.221.52,5,HIGH,Brute-Force,2026-09-02,2026-09-05,blocklist_de|blocklist_de_ssh|firehol_level2|ipsum
1.30.199.218,7,HIGH,Brute-Force|Malicious,2026-09-02,2026-09-05,blocklist_de|blocklist_de_ssh|firehol_level2|greensnow|ipsum|romainmarcoux_outgoing_ab
1.30.216.134,6,HIGH,Brute-Force|Exploit|Malicious,2026-09-04,2026-09-05,blocklist_de|blocklist_de_apache|firehol_level2|ipsum|romainmarcoux_outgoing_ab
1.32.207.234,5,HIGH,Brute-Force,2026-09-02,2026-09-05,blocklist_de|blocklist_de_ssh|firehol_level2|ipsum
1.38.52.4,6,HIGH,Botnet|Brute-Force|Malicious,2026-09-03,2026-09-05,blocklist_de|blocklist_net_bots|firehol_level2|ipsum|romainmarcoux_outgoing_ab
1.38.220.207,5,HIGH,Brute-Force,2026-09-02,2026-09-05,blocklist_de|blocklist_de_ssh|firehol_level2|ipsum
1.54.63.81,6,HIGH,Brute-Force|Exploit|Malicious,2026-09-04,2026-09-05,blocklist_de|blocklist_de_apache|greensnow|ipsum|romainmarcoux_outgoing_ab
1.55.14.86,5,HIGH,Brute-Force|Malicious|Spam,2026-09-04,2026-09-05,blocklist_de|blocklist_de_mail|ipsum|romainmarcoux_outgoing_ab
1.55.42.189,6,HIGH,Botnet|Brute-Force|Malicious,2026-09-03,2026-09-05,blocklist_de|blocklist_net_bots|firehol_level2|ipsum|romainmarcoux_outgoing_ab
1.82.133.130,5,HIGH,Brute-Force|Malicious,2026-09-02,2026-09-05,firehol_level2|greensnow|ipsum|romainmarcoux_outgoing_ab
1.85.42.195,6,HIGH,Brute-Force|Malicious|Spam,2026-09-02,2026-09-05,blocklist_de|blocklist_de_mail|ipsum|romainmarcoux_outgoing_40k|romainmarcoux_outgoing_aa
1.86.233.5,5,HIGH,Brute-Force,2026-09-02,2026-09-05,blocklist_de|blocklist_de_ssh|firehol_level2|ipsum
1.92.121.6,5,HIGH,Brute-Force,2026-09-02,2026-09-05,blocklist_de|blocklist_de_ssh|firehol_level2|ipsum
1.95.91.114,5,HIGH,Brute-Force,2026-09-02,2026-09-05,blocklist_de|blocklist_de_ssh|firehol_level2|ipsum
1.95.172.30,5,HIGH,Brute-Force,2026-09-02,2026-09-05,blocklist_de|blocklist_de_ssh|firehol_level2|ipsum
1.161.166.210,5,HIGH,Brute-Force|Malicious,2026-09-04,2026-09-05,firehol_level2|greensnow|ipsum|romainmarcoux_outgoing_ab
1.162.197.67,5,HIGH,Brute-Force,2026-09-02,2026-09-05,blocklist_de|blocklist_de_ssh|firehol_level2|ipsum
1.162.237.203,5,HIGH,Brute-Force,2026-09-02,2026-09-05,blocklist_de|blocklist_de_ssh|firehol_level2|ipsum
1.162.247.182,5,HIGH,Brute-Force,2026-09-02,2026-09-05,blocklist_de|blocklist_de_ssh|firehol_level2|ipsum
1.174.208.30,5,HIGH,Brute-Force,2026-09-02,2026-09-05,blocklist_de|blocklist_de_ssh|firehol_level2|ipsum
1.178.125.67,5,HIGH,Brute-Force|Malicious,2026-09-04,2026-09-05,blocklist_de|blocklist_de_ssh|ipsum|romainmarcoux_outgoing_ab
1.178.222.238,2,MEDIUM,Brute-Force,2026-09-05,2026-09-05,blocklist_de|blocklist_de_ssh
1.183.175.183,6,HIGH,Brute-Force|Malicious|Spam,2026-09-03,2026-09-05,blocklist_de|blocklist_de_mail|firehol_level2|ipsum|romainmarcoux_outgoing_ab
1.192.80.248,7,HIGH,Brute-Force|Malicious|Spam,2026-09-02,2026-09-05,abuseipdb|blocklist_de|blocklist_de_mail|firehol_level2|ipsum|romainmarcoux_outgoing_ab
1.204.166.3,5,HIGH,Brute-Force|Malicious,2026-09-02,2026-09-05,firehol_level2|greensnow|ipsum|romainmarcoux_outgoing_ab
1.204.206.182,5,HIGH,Brute-Force,2026-09-02,2026-09-05,blocklist_de|blocklist_de_ssh|firehol_level2|ipsum
1.209.110.147,6,HIGH,Brute-Force|Malicious,2026-09-02,2026-09-05,abuseipdb|blocklist_de|blocklist_de_ssh|firehol_level2|ipsum
1.212.225.99,9,HIGH,Brute-Force|Malicious|Spam,2026-09-02,2026-09-05,abuseipdb|blocklist_de|blocklist_de_mail|blocklist_net_strongips|firehol_level2|greensnow|ipsum|romainmarcoux_outgoing_ab
1.214.42.172,6,HIGH,Brute-Force,2026-09-02,2026-09-05,blocklist_de|blocklist_de_ssh|blocklist_net_strongips|firehol_level2|ipsum
1.214.117.218,6,HIGH,Brute-Force|Malicious,2026-09-02,2026-09-05,blocklist_de|blocklist_de_ssh|firehol_level2|ipsum|romainmarcoux_outgoing_ab
