# Threatbase Threat Intelligence Feed - C2 IPs
# Last update: Sat, 05 Sep 2026 10:18:29 +0000
# Count: 7607
# Format: IP,FeedCount,RiskScore,Tags,FirstSeen,LastSeen,Sources
1.53.101.75,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
1.161.66.82,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
1.161.67.235,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
1.161.71.109,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
1.161.72.70,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
1.161.75.18,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
1.161.79.116,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
1.161.80.70,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
1.161.80.99,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
1.161.81.21,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
1.161.88.84,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
1.161.97.158,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
1.161.100.47,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
1.161.104.31,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
1.161.104.149,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
1.161.116.40,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
1.161.118.53,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
1.161.121.58,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
1.161.122.145,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
1.161.123.53,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
1.161.123.180,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
1.161.124.241,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
1.161.126.13,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
1.161.126.64,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
1.221.179.74,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
1.234.2.232,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
1.234.20.244,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
1.234.21.73,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
1.234.65.61,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
2.13.73.146,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
2.14.24.66,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
2.14.82.210,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
2.14.96.234,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
2.14.104.108,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
2.14.105.160,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
2.14.137.60,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
2.14.137.211,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
2.14.140.222,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
2.14.144.105,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
2.14.173.248,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
2.14.232.15,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
2.14.241.33,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
2.34.12.8,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
