# Threatbase Threat Intelligence Feed - Compromised IPs
# Last update: Sat, 05 Sep 2026 10:18:29 +0000
# Count: 15548
# Format: IP,FeedCount,RiskScore,Tags,FirstSeen,LastSeen,Sources
1.12.229.231,2,HIGH,Compromised,2026-09-02,2026-09-05,cins_army
1.15.14.29,4,HIGH,Compromised|Malicious,2026-09-02,2026-09-05,cins_army|ipsum|romainmarcoux_outgoing_ab
1.20.163.158,1,HIGH,Compromised,2026-09-05,2026-09-05,cins_army
1.20.175.161,4,HIGH,Compromised|Malicious,2026-09-05,2026-09-05,cins_army|ipsum|romainmarcoux_outgoing_ab
1.24.16.2,2,HIGH,Compromised,2026-09-02,2026-09-05,cins_army
1.24.16.3,5,HIGH,Compromised|Malicious,2026-09-02,2026-09-05,cins_army|ipsum|romainmarcoux_outgoing_40k|romainmarcoux_outgoing_aa
1.24.16.4,2,HIGH,Compromised,2026-09-02,2026-09-05,cins_army
1.24.16.5,6,HIGH,Compromised|Malicious,2026-09-02,2026-09-05,cins_army|firehol_level3|ipsum|romainmarcoux_outgoing_40k|romainmarcoux_outgoing_aa
1.24.16.7,2,HIGH,Compromised,2026-09-02,2026-09-05,cins_army
1.24.16.8,3,HIGH,Compromised,2026-09-02,2026-09-05,cins_army|ipsum
1.24.16.15,3,HIGH,Compromised|Malicious,2026-09-02,2026-09-05,cins_army|romainmarcoux_outgoing_ab
1.24.16.16,3,HIGH,Compromised|Malicious,2026-09-02,2026-09-05,cins_army|romainmarcoux_outgoing_ab
1.24.16.25,6,HIGH,Compromised|Malicious,2026-09-02,2026-09-05,cins_army|firehol_level3|ipsum|romainmarcoux_outgoing_40k|romainmarcoux_outgoing_aa
1.24.16.26,5,HIGH,Compromised|Malicious,2026-09-02,2026-09-05,cins_army|ipsum|romainmarcoux_outgoing_40k|romainmarcoux_outgoing_aa
1.24.16.27,6,HIGH,Compromised|Malicious,2026-09-02,2026-09-05,cins_army|firehol_level3|ipsum|romainmarcoux_outgoing_40k|romainmarcoux_outgoing_aa
1.24.16.30,5,HIGH,Compromised|Malicious,2026-09-02,2026-09-05,cins_army|ipsum|romainmarcoux_outgoing_40k|romainmarcoux_outgoing_aa
1.24.16.41,4,HIGH,Compromised|Malicious,2026-09-02,2026-09-05,cins_army|ipsum|romainmarcoux_outgoing_ab
1.24.16.46,4,HIGH,Compromised|Malicious,2026-09-02,2026-09-05,cins_army|ipsum|romainmarcoux_outgoing_ab
1.24.16.55,6,HIGH,Compromised|Malicious,2026-09-02,2026-09-05,cins_army|firehol_level3|ipsum|romainmarcoux_outgoing_40k|romainmarcoux_outgoing_aa
1.24.16.59,2,HIGH,Compromised,2026-09-02,2026-09-05,cins_army
1.24.16.61,2,HIGH,Compromised,2026-09-02,2026-09-05,cins_army
1.24.16.64,4,HIGH,Compromised|Malicious,2026-09-02,2026-09-05,cins_army|romainmarcoux_outgoing_40k|romainmarcoux_outgoing_aa
1.24.16.65,5,HIGH,Compromised|Malicious,2026-09-02,2026-09-05,cins_army|ipsum|romainmarcoux_outgoing_40k|romainmarcoux_outgoing_aa
1.24.16.69,2,HIGH,Compromised,2026-09-02,2026-09-05,cins_army
1.24.16.70,3,HIGH,Compromised|Malicious,2026-09-02,2026-09-05,cins_army|romainmarcoux_outgoing_ab
1.24.16.78,2,HIGH,Compromised,2026-09-02,2026-09-05,cins_army
1.24.16.85,5,HIGH,Compromised|Malicious,2026-09-02,2026-09-05,cins_army|ipsum|romainmarcoux_outgoing_40k|romainmarcoux_outgoing_aa
1.24.16.91,5,HIGH,Compromised|Malicious,2026-09-02,2026-09-05,cins_army|ipsum|romainmarcoux_outgoing_40k|romainmarcoux_outgoing_aa
1.24.16.116,2,HIGH,Compromised,2026-09-02,2026-09-05,cins_army
1.24.16.120,5,HIGH,Compromised|Malicious,2026-09-02,2026-09-05,cins_army|ipsum|romainmarcoux_outgoing_40k|romainmarcoux_outgoing_aa
1.24.16.121,5,HIGH,Compromised|Malicious,2026-09-02,2026-09-05,cins_army|ipsum|romainmarcoux_outgoing_40k|romainmarcoux_outgoing_aa
1.24.16.127,5,HIGH,Compromised|Malicious,2026-09-02,2026-09-05,cins_army|ipsum|romainmarcoux_outgoing_40k|romainmarcoux_outgoing_aa
1.24.16.129,4,HIGH,Compromised|Malicious,2026-09-02,2026-09-05,cins_army|romainmarcoux_outgoing_40k|romainmarcoux_outgoing_aa
1.24.16.132,4,HIGH,Compromised|Malicious,2026-09-02,2026-09-05,cins_army|ipsum|romainmarcoux_outgoing_ab
1.24.16.133,3,HIGH,Compromised,2026-09-02,2026-09-05,cins_army|ipsum
1.24.16.134,5,HIGH,Compromised|Malicious,2026-09-02,2026-09-05,cins_army|ipsum|romainmarcoux_outgoing_40k|romainmarcoux_outgoing_aa
1.24.16.140,3,HIGH,Compromised|Malicious,2026-09-02,2026-09-05,cins_army|romainmarcoux_outgoing_ab
1.24.16.142,2,HIGH,Compromised,2026-09-02,2026-09-05,cins_army
1.24.16.148,5,HIGH,Compromised|Malicious,2026-09-02,2026-09-05,cins_army|ipsum|romainmarcoux_outgoing_40k|romainmarcoux_outgoing_aa
1.24.16.149,6,HIGH,Compromised|Malicious,2026-09-02,2026-09-05,cins_army|firehol_level3|ipsum|romainmarcoux_outgoing_40k|romainmarcoux_outgoing_aa
1.24.16.150,2,HIGH,Compromised,2026-09-02,2026-09-05,cins_army
1.24.16.153,5,HIGH,Compromised|Malicious,2026-09-02,2026-09-05,cins_army|ipsum|romainmarcoux_outgoing_40k|romainmarcoux_outgoing_aa
1.24.16.154,4,HIGH,Compromised|Malicious,2026-09-02,2026-09-05,cins_army|ipsum|romainmarcoux_outgoing_ab
1.24.16.158,5,HIGH,Compromised|Malicious,2026-09-02,2026-09-05,cins_army|ipsum|romainmarcoux_outgoing_40k|romainmarcoux_outgoing_aa
1.24.16.161,2,HIGH,Compromised,2026-09-02,2026-09-05,cins_army
1.24.16.168,2,HIGH,Compromised,2026-09-02,2026-09-05,cins_army
1.24.16.173,3,HIGH,Compromised|Malicious,2026-09-02,2026-09-05,cins_army|romainmarcoux_outgoing_ab
1.24.16.179,5,HIGH,Compromised|Malicious,2026-09-02,2026-09-05,cins_army|ipsum|romainmarcoux_outgoing_40k|romainmarcoux_outgoing_aa
1.24.16.181,4,HIGH,Compromised|Malicious,2026-09-02,2026-09-05,cins_army|ipsum|romainmarcoux_outgoing_ab
1.24.16.182,5,HIGH,Compromised|Malicious,2026-09-02,2026-09-05,cins_army|ipsum|romainmarcoux_outgoing_40k|romainmarcoux_outgoing_aa
1.24.16.183,4,HIGH,Compromised|Malicious,2026-09-02,2026-09-05,cins_army|romainmarcoux_outgoing_40k|romainmarcoux_outgoing_aa
1.24.16.189,4,HIGH,Compromised|Malicious,2026-09-02,2026-09-05,cins_army|ipsum|romainmarcoux_outgoing_ab
1.24.16.193,3,HIGH,Compromised,2026-09-02,2026-09-05,cins_army|ipsum
1.28.201.36,2,HIGH,Compromised,2026-09-02,2026-09-05,cins_army
1.32.57.245,2,HIGH,Compromised,2026-09-02,2026-09-05,cins_army
1.34.2.110,6,HIGH,Compromised|Malicious,2026-09-02,2026-09-05,cins_army|firehol_level3|ipsum|romainmarcoux_outgoing_40k|romainmarcoux_outgoing_aa
1.34.143.217,4,HIGH,Compromised,2026-09-02,2026-09-05,cins_army|firehol_level3|ipsum
1.58.106.228,6,HIGH,Compromised|Malicious,2026-09-03,2026-09-05,cins_army|firehol_level3|ipsum|romainmarcoux_outgoing_40k|romainmarcoux_outgoing_aa
1.83.125.15,2,HIGH,Compromised,2026-09-02,2026-09-05,cins_army
