# Threatbase Threat Intelligence Feed - IPs
# Last update: Thu, 30 Jul 2026 10:17:28 +0000
# Format: IP,FeedCount,RiskScore,Tags
1.0.1.1,2,HIGH,Malicious
1.0.1.11,1,HIGH,Mixed
1.0.2.0,2,HIGH,Malicious
1.0.7.16,1,HIGH,Mixed
1.0.7.31,1,HIGH,Mixed
1.0.103.91,2,HIGH,Malicious
1.0.140.1,1,HIGH,Mixed
1.0.140.57,1,HIGH,Mixed
1.0.140.211,1,HIGH,Mixed
1.0.164.165,6,HIGH,Brute-Force|Malicious
1.0.171.49,1,HIGH,Mixed
1.0.203.159,1,HIGH,Mixed
1.0.211.205,1,HIGH,Mixed
1.0.214.226,1,HIGH,Mixed
1.0.215.7,2,HIGH,Malicious
1.0.215.194,2,HIGH,Malicious
1.0.225.205,1,HIGH,Mixed
1.0.226.130,1,HIGH,Mixed
1.0.227.12,2,HIGH,Mixed
1.0.240.244,1,HIGH,Mixed
1.0.248.17,1,HIGH,Mixed
1.0.250.221,1,HIGH,Mixed
1.0.251.12,1,HIGH,Mixed
1.0.251.101,1,HIGH,Mixed
1.0.251.135,1,HIGH,Mixed
1.0.251.196,1,HIGH,Mixed
1.0.251.255,1,HIGH,Mixed
1.0.252.109,1,HIGH,Mixed
1.0.253.184,1,HIGH,Mixed
1.0.254.48,1,HIGH,Mixed
1.0.254.84,1,HIGH,Mixed
1.0.254.163,1,HIGH,Mixed
1.0.255.48,1,HIGH,Mixed
1.0.255.139,1,HIGH,Mixed
1.1.37.0,2,HIGH,Malicious
1.1.130.50,1,HIGH,Mixed
1.1.131.69,1,HIGH,Mixed
1.1.133.104,1,HIGH,Mixed
1.1.140.9,1,HIGH,Mixed
1.1.140.12,1,HIGH,Mixed
1.1.140.14,1,HIGH,Mixed
1.1.145.149,1,HIGH,Mixed
1.1.179.83,2,HIGH,Malicious
1.1.212.33,1,HIGH,Mixed
1.1.215.124,1,HIGH,Mixed
1.1.220.166,1,HIGH,Mixed
1.1.243.65,1,HIGH,Mixed
1.1.247.181,1,HIGH,Mixed
1.1.253.134,2,HIGH,Malicious
1.2.3.4,1,HIGH,Mixed
1.2.134.219,2,HIGH,Mixed
1.2.134.251,1,HIGH,Mixed
1.2.135.119,1,HIGH,Mixed
1.2.136.23,1,HIGH,Mixed
1.2.137.157,1,HIGH,Mixed
1.2.139.84,1,HIGH,Mixed
1.2.143.13,1,HIGH,Mixed
1.2.148.14,1,HIGH,Mixed
1.2.156.123,1,HIGH,Mixed
1.2.164.134,1,HIGH,Mixed
1.2.167.178,1,HIGH,Mixed
1.2.170.120,1,HIGH,Mixed
1.2.170.239,1,HIGH,Mixed
1.2.170.244,1,HIGH,Mixed
1.2.174.32,1,HIGH,Mixed
1.2.174.72,1,HIGH,Mixed
1.2.177.220,1,HIGH,Mixed
1.2.177.238,1,HIGH,Mixed
1.2.178.196,1,HIGH,Mixed
1.2.182.57,1,HIGH,Mixed
1.2.184.19,1,HIGH,Mixed
1.2.184.140,1,HIGH,Mixed
1.2.185.78,2,HIGH,Malicious
1.2.185.103,1,HIGH,Mixed
1.2.185.153,1,HIGH,Mixed
1.2.186.68,1,HIGH,Mixed
1.2.195.58,1,HIGH,Mixed
1.2.204.167,1,HIGH,Mixed
1.2.210.24,1,HIGH,Mixed
1.2.212.162,2,HIGH,Mixed
1.2.213.17,1,HIGH,Mixed
1.2.213.197,1,HIGH,Mixed
1.2.215.83,1,HIGH,Mixed
1.2.216.247,2,HIGH,Malicious
1.2.218.191,1,HIGH,Mixed
1.2.219.120,1,HIGH,Mixed
1.2.219.158,1,HIGH,Mixed
1.2.219.185,1,HIGH,Mixed
1.2.220.64,1,HIGH,Mixed
1.2.220.103,1,HIGH,Mixed
1.2.221.10,1,HIGH,Mixed
1.2.221.179,1,HIGH,Mixed
1.2.223.182,1,HIGH,Mixed
1.2.224.67,1,HIGH,Mixed
1.2.227.115,1,HIGH,Mixed
1.2.232.176,1,HIGH,Mixed
1.2.241.157,1,HIGH,Mixed
1.2.241.193,1,HIGH,Mixed
1.2.244.194,1,HIGH,Mixed
1.2.245.162,1,HIGH,Mixed
1.2.247.21,1,HIGH,Mixed
1.2.247.181,1,HIGH,Mixed
1.2.252.192,1,HIGH,Mixed
1.3.0.0,1,HIGH,Mixed
1.3.3.7,1,HIGH,Mixed
1.4.144.106,1,HIGH,Mixed
1.4.144.190,1,HIGH,Mixed
1.4.145.58,1,HIGH,Mixed
1.4.147.5,1,HIGH,Mixed
1.4.147.16,1,HIGH,Mixed
1.4.147.72,1,HIGH,Mixed
1.4.149.55,1,HIGH,Mixed
1.4.150.80,2,HIGH,Mixed
1.4.151.100,1,HIGH,Mixed
1.4.151.190,1,HIGH,Mixed
1.4.162.55,1,HIGH,Mixed
1.4.163.107,1,HIGH,Mixed
1.4.165.25,1,HIGH,Mixed
1.4.167.219,1,HIGH,Mixed
1.4.171.11,1,HIGH,Mixed
1.4.171.137,1,HIGH,Mixed
1.4.171.203,1,HIGH,Mixed
1.4.171.217,1,HIGH,Mixed
1.4.171.236,1,HIGH,Mixed
1.4.172.132,1,HIGH,Mixed
1.4.174.113,1,HIGH,Mixed
1.4.175.43,1,HIGH,Mixed
1.4.188.63,1,HIGH,Mixed
1.4.195.114,2,HIGH,Mixed
1.4.196.102,2,HIGH,Malicious
1.4.200.17,1,HIGH,Mixed
1.4.201.238,1,HIGH,Mixed
1.4.203.76,1,HIGH,Mixed
1.4.206.254,1,HIGH,Mixed
1.4.214.136,1,HIGH,Mixed
1.4.215.33,1,HIGH,Mixed
1.4.221.22,1,HIGH,Mixed
1.4.229.90,1,HIGH,Mixed
1.4.231.123,1,HIGH,Mixed
1.4.231.206,1,HIGH,Mixed
1.4.232.134,1,HIGH,Mixed
1.4.234.228,2,HIGH,Mixed
1.4.235.214,1,HIGH,Mixed
1.4.253.39,1,HIGH,Mixed
1.4.253.241,1,HIGH,Mixed
1.4.254.127,2,HIGH,Mixed
1.4.255.226,1,HIGH,Mixed
1.6.0.26,1,HIGH,Mixed
1.6.83.9,1,HIGH,Mixed
1.6.83.15,1,HIGH,Mixed
1.7.22.157,1,HIGH,Mixed
1.7.86.74,1,HIGH,Mixed
1.7.147.211,3,HIGH,Malicious
1.7.229.162,2,HIGH,Malicious
1.9.2.12,1,HIGH,Mixed
1.9.4.122,1,HIGH,Mixed
1.9.14.108,1,HIGH,Mixed
1.9.107.43,2,HIGH,Malicious
1.9.126.122,1,HIGH,Mixed
1.9.164.197,2,HIGH,Mixed
1.9.175.180,2,HIGH,Malicious
1.9.203.73,1,HIGH,Mixed
1.9.211.178,3,HIGH,Mixed
1.9.213.2,1,HIGH,Mixed
1.10.131.18,1,HIGH,Mixed
1.10.131.224,1,HIGH,Mixed
1.10.144.169,1,HIGH,Mixed
1.10.146.175,2,HIGH,Malicious
1.10.147.64,2,HIGH,Malicious
1.10.147.106,2,HIGH,Malicious
1.10.161.232,1,HIGH,Mixed
1.10.177.57,1,HIGH,Mixed
1.10.185.51,4,HIGH,Malicious
1.10.185.224,1,HIGH,Mixed
1.10.204.51,1,HIGH,Mixed
1.10.209.76,2,HIGH,Malicious
1.10.209.219,2,HIGH,Malicious
1.10.209.220,2,HIGH,Malicious
1.10.211.69,1,HIGH,Mixed
1.10.214.96,1,HIGH,Mixed
1.10.218.26,2,HIGH,Mixed
1.10.241.77,1,HIGH,Mixed
1.10.247.19,1,HIGH,Mixed
1.10.247.48,1,HIGH,Mixed
1.10.247.163,1,HIGH,Mixed
1.10.247.177,1,HIGH,Mixed
1.10.247.199,1,HIGH,Mixed
1.10.251.175,2,HIGH,Malicious
1.10.255.112,2,HIGH,Mixed
1.11.45.11,1,HIGH,Mixed
1.11.64.131,1,HIGH,Mixed
1.11.228.4,1,HIGH,Mixed
1.12.42.37,2,HIGH,Mixed
1.12.48.131,1,HIGH,Mixed
1.12.50.117,2,HIGH,Mixed
1.12.51.198,1,HIGH,Mixed
1.12.54.103,2,HIGH,Mixed
1.12.55.42,4,HIGH,Brute-Force
1.12.64.80,2,HIGH,Malicious
1.12.65.23,2,HIGH,Mixed
1.12.65.64,1,HIGH,Mixed
1.12.66.17,4,HIGH,Malicious
1.12.66.163,2,HIGH,Mixed
1.12.69.210,1,HIGH,Mixed
1.12.70.96,2,HIGH,Mixed
1.12.70.192,1,HIGH,Mixed
1.12.75.89,1,HIGH,Mixed
1.12.77.250,1,HIGH,Mixed
1.12.217.80,2,HIGH,Malicious
1.12.217.168,1,HIGH,Mixed
1.12.222.199,2,HIGH,Malicious
1.12.223.79,1,HIGH,Mixed
1.12.229.231,4,HIGH,Compromised
1.12.231.30,3,HIGH,Malicious
1.12.231.145,1,HIGH,Mixed
1.12.233.147,1,HIGH,Mixed
1.12.240.26,2,HIGH,Mixed
1.12.244.250,2,HIGH,Mixed
1.12.246.69,1,HIGH,Mixed
1.12.247.164,1,HIGH,Mixed
1.12.247.195,1,HIGH,Mixed
1.12.248.238,2,HIGH,Mixed
1.12.249.74,2,HIGH,Mixed
1.13.5.88,2,HIGH,Malicious
1.13.6.145,2,HIGH,Malicious
1.13.18.144,2,HIGH,Malicious
1.13.19.219,2,HIGH,Malicious
1.13.22.104,1,HIGH,Mixed
1.13.22.203,1,HIGH,Mixed
1.13.79.55,2,HIGH,Mixed
1.13.79.115,2,HIGH,Mixed
1.13.79.144,2,HIGH,Malicious
1.13.79.216,1,HIGH,Mixed
1.13.92.86,2,HIGH,Malicious
1.13.102.222,2,HIGH,Malicious
